AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_3,GPA_SEM_4,cluster
77,17,52,18,62,20,53,18,53,17,24,23,24,22,24,24,48,46,73,20,68,18,64,19,60,19,52,18,24,25,24,22,23,22,24,24,23,23,9.08,9.56,0
77,19,57,18,68,20,58,18,60,18,23,23,23,22,24,24,44,46,75,19,54,17,58,18,63,19,43,18,19,24,23,23,21,22,23,24,24,23,9.54,9.21,0
18,8,42,11,47,18,34,12,44,16,23,23,23,22,21,24,42,48,40,18,42,12,36,14,35,12,32,14,21,21,23,21,20,18,23,21,23,19,0,6.46,3
38,12,52,12,40,18,54,13,60,18,23,22,21,22,24,24,45,46,45,15,60,13,58,17,58,16,35,16,24,21,23,21,24,18,23,23,24,22,7.54,8.11,2
55,11,57,13,46,13,42,10,32,14,20,20,21,21,23,22,42,48,45,15,39,11,20,12,35,13,34,8,19,23,21,18,22,17,21,19,22,18,7.12,0,2
55,13,51,16,57,19,59,16,61,17,21,20,22,22,23,20,44,46,56,15,61,19,57,16,60,20,52,15,23,10,22,20,23,20,21,20,22,20,8.5,8.89,5
76,18,69,18,52,20,56,20,57,16,23,20,23,22,23,23,42,46,75,20,72,19,59,17,58,20,57,18,24,21,21,18,23,20,21,21,22,17,9.23,9.54,0
73,11,66,13,53,17,60,18,50,17,23,22,23,22,23,22,41,46,70,19,73,18,58,16,63,18,55,16,23,21,21,18,20,17,21,21,22,19,8.92,9.3,0
67,17,60,19,51,20,37,16,51,19,23,22,22,22,24,22,46,48,68,16,63,19,40,19,54,19,43,16,24,21,20,20,23,22,23,21,22,18,8.62,8.62,5
60,15,52,13,55,18,18,9,44,13,17,20,21,21,22,21,39,43,63,15,51,12,43,11,53,12,37,8,17,20,20,21,20,16,20,21,22,15,0,7.3,2
60,10,56,17,52,18,36,12,59,17,22,23,22,21,24,22,47,48,33,14,55,17,43,14,44,14,22,14,22,21,23,23,24,19,22,23,24,23,8.08,0,2
69,15,54,13,57,19,46,18,53,17,23,22,23,22,23,19,40,33,67,14,73,18,53,18,53,17,45,17,18,19,21,18,22,17,22,21,22,18,8.46,8.81,5
67,16,52,13,53,15,52,17,59,17,21,20,23,22,24,24,42,47,58,18,57,15,55,17,62,16,49,16,20,21,22,18,21,19,21,21,23,21,8.46,8.73,5
64,9,52,12,35,15,42,13,53,10,22,22,20,22,22,21,38,37,59,19,70,14,55,16,62,16,52,12,16,19,20,21,19,20,21,22,18,18,7.38,8.63,5
65,13,47,14,34,16,55,10,48,15,21,20,21,22,24,21,37,42,71,11,66,11,62,14,63,16,49,15,17,17,17,16,22,21,21,21,21,14,7.73,8.95,5
64,11,32,13,48,15,36,16,35,9,22,20,21,20,21,15,36,37,61,14,47,9,58,14,54,16,35,12,17,17,20,20,18,16,19,20,21,14,6.81,7.37,2
37,12,38,10,51,16,32,12,32,11,22,23,22,21,24,24,42,42,61,17,59,14,44,17,54,15,47,15,20,24,21,20,22,20,21,20,23,19,5.96,8.29,2
71,17,49,9,51,18,41,12,58,11,21,23,22,21,23,22,40,47,70,18,68,17,72,16,62,16,58,12,21,21,23,23,20,20,19,20,20,24,7.85,9.52,5
55,9,53,17,65,20,53,12,59,20,20,22,19,21,22,24,40,45,59,19,65,16,56,18,60,20,53,13,17,24,20,20,23,20,22,20,20,21,8.5,9.17,5
58,11,52,8,57,19,49,13,53,14,19,20,23,22,23,22,40,45,73,19,66,18,66,20,63,20,55,19,22,23,21,20,23,21,20,21,20,18,7.85,9.63,5
54,11,35,14,38,17,32,12,44,12,20,22,22,21,22,24,42,47,52,12,45,12,52,20,52,16,34,16,18,23,19,18,19,18,20,21,21,22,6.5,7.44,2
48,10,40,15,38,16,45,13,47,17,23,23,23,22,24,23,44,45,55,18,51,15,49,17,45,14,39,18,22,21,20,21,22,19,19,22,24,24,6.92,7.58,2
64,19,51,19,49,19,52,19,54,18,23,22,20,23,24,24,45,46,69,20,63,18,63,19,65,20,62,19,23,21,21,22,22,19,20,22,23,21,8.62,10,5
64,13,47,17,40,16,41,14,43,14,23,21,21,23,22,22,44,46,61,20,58,17,57,16,61,16,47,16,21,24,19,22,19,16,20,23,21,22,7.5,8.89,5
68,11,35,5,36,14,46,7,36,14,19,19,23,20,23,22,44,46,65,17,55,14,54,15,58,16,50,15,19,18,21,18,22,18,19,20,21,22,0,8.26,2
34,10,42,13,37,18,32,13,42,12,23,21,23,23,23,23,43,46,51,15,54,16,53,17,40,19,35,15,22,23,19,19,22,19,20,20,23,20,6.23,7.73,2
62,13,35,11,38,13,47,15,52,14,18,19,20,21,24,21,38,42,63,16,60,18,67,20,58,18,54,20,18,21,20,20,21,18,18,21,19,20,7.42,9.1,5
74,11,37,10,35,18,9,8,32,11,22,20,16,20,22,21,36,48,73,14,38,11,43,7,32,13,32,8,19,21,19,20,14,14,14,19,21,18,0,6.8,2
62,17,58,14,54,19,62,16,53,15,21,18,20,21,21,23,39,43,71,20,60,16,59,16,61,20,50,16,17,21,18,18,18,18,14,19,20,19,8.54,9.03,5
62,16,47,16,61,18,50,17,56,17,19,21,20,22,20,20,42,43,75,19,67,17,64,17,59,19,62,19,18,23,20,20,18,17,14,19,18,19,8.42,9.54,5
67,14,48,13,39,20,55,16,42,17,23,21,23,23,23,21,40,47,53,18,60,18,63,18,63,19,62,19,20,24,20,21,23,20,18,20,21,20,8,9.54,5
41,9,34,13,27,14,43,13,57,18,22,23,23,22,24,19,45,38,57,17,55,12,45,18,38,17,39,15,20,19,22,22,21,19,20,20,24,21,6.77,7.52,2
74,15,59,16,56,19,44,18,62,16,23,21,23,23,23,24,43,45,74,19,63,18,57,18,57,18,45,18,21,21,19,17,23,18,18,19,24,23,9.08,9.19,5
45,13,7,8,43,15,33,10,39,13,22,19,23,22,23,24,42,38,52,18,46,18,42,15,49,16,41,18,22,19,21,21,23,19,18,20,20,21,0,7.54,2
70,13,48,9,50,19,49,9,37,15,21,19,19,21,18,22,38,40,59,17,52,13,36,15,54,15,32,13,19,23,18,19,21,18,20,19,20,18,7.62,7.54,2
76,16,58,13,64,17,55,15,68,16,23,22,23,21,22,24,39,45,77,20,72,16,62,17,61,18,50,13,21,21,20,20,23,20,20,21,23,21,9.38,9.19,0
69,12,32,11,43,19,43,14,55,17,23,23,23,23,24,23,45,44,61,20,54,16,50,15,56,16,47,15,23,21,19,20,22,18,20,22,23,18,7.69,8.52,5
57,16,47,13,52,19,34,9,41,11,18,20,22,22,22,22,38,44,66,17,69,18,50,17,58,17,47,13,24,23,17,16,22,17,19,21,21,20,7.27,8.89,5
51,9,22,6,39,14,18,8,19,9,14,18,14,20,14,14,39,29,55,17,43,10,40,11,45,12,32,10,19,14,18,18,19,16,15,18,18,15,0,6.33,3
55,14,43,10,35,16,33,13,35,13,23,23,23,20,22,23,44,45,67,18,50,14,40,16,46,17,40,15,20,19,19,18,23,19,19,20,22,21,6.65,7.78,2
68,14,45,16,61,19,63,18,56,18,23,23,21,22,23,23,46,45,73,20,63,17,53,15,60,20,48,17,23,21,18,17,22,19,19,20,22,22,9.23,9,5
50,9,39,11,45,17,40,14,55,18,22,23,22,21,22,22,44,45,57,16,46,15,51,10,43,13,43,12,19,21,18,18,17,14,18,20,21,19,7.23,7.33,2
59,13,40,9,55,15,46,14,54,15,17,21,19,21,16,22,40,45,73,17,62,15,64,12,62,16,59,16,21,21,22,22,16,15,16,19,20,21,7.54,9.15,5
44,9,42,15,59,19,39,15,55,19,21,21,20,22,23,22,47,44,55,13,50,16,48,12,43,14,32,19,19,23,20,20,20,21,15,20,22,22,7.54,7.4,2
59,9,39,12,34,16,42,11,44,12,23,22,21,22,21,22,40,43,73,19,69,15,58,15,51,17,45,15,19,21,14,15,23,18,19,19,21,20,6.96,8.88,5
36,9,12,8,32,18,32,8,32,12,17,17,19,21,17,13,38,31,60,15,32,11,21,12,37,9,20,11,18,14,23,23,14,15,15,19,16,10,0,0,3
68,18,68,18,55,19,50,18,68,17,22,20,23,23,23,23,42,44,75,19,62,19,61,17,59,20,55,17,23,23,18,18,21,21,20,19,22,21,9.23,9.37,0
66,12,40,12,48,14,33,13,52,11,20,20,19,19,20,21,42,45,61,16,65,12,50,15,65,14,55,13,18,21,21,22,22,19,20,19,21,18,7.46,8.51,5
51,8,36,10,32,18,32,9,34,14,21,21,21,21,20,17,42,44,44,18,54,14,16,12,0,12,0,11,19,19,21,21,18,15,17,19,19,15,6.08,0,3
44,14,54,11,45,19,41,16,39,18,23,23,21,21,21,24,44,45,71,14,68,15,63,18,60,18,57,19,22,21,18,19,22,18,19,20,22,21,7.08,9.67,5
61,14,54,10,54,19,55,11,66,20,18,18,16,22,19,22,39,43,72,20,61,19,59,16,59,18,61,18,22,19,23,18,18,15,18,19,20,23,8.46,9.3,5
12,0,15,4,5,6,17,5,32,6,19,18,17,21,17,20,39,42,15,11,50,9,18,8,42,11,53,11,18,19,19,19,16,15,18,19,18,17,0,0,3
38,10,33,11,44,15,41,14,42,12,20,19,21,22,20,22,40,39,54,16,51,16,45,18,57,20,60,19,20,21,21,21,21,19,15,21,18,18,6.15,8.29,2
62,13,63,13,60,18,45,16,62,19,23,22,23,22,21,23,42,44,76,20,60,18,65,20,62,19,60,19,22,23,20,20,23,19,19,21,22,22,9.04,9.7,0
46,9,38,8,37,14,32,12,46,11,20,19,18,20,18,18,38,46,49,13,47,11,39,9,45,15,46,14,15,18,22,22,14,14,16,20,19,21,6.15,6.89,2
73,14,59,18,45,19,69,17,64,17,20,21,21,23,23,23,45,48,68,16,66,18,64,18,56,20,58,18,22,23,14,16,22,20,15,22,20,20,9.38,9.73,0
55,9,45,10,41,11,45,11,46,10,17,20,15,21,14,15,37,37,36,12,42,13,45,11,35,11,53,12,16,17,21,19,15,15,13,19,17,10,6.5,6.06,2
32,8,45,15,36,14,33,15,32,11,21,24,22,22,23,17,47,45,34,18,45,12,55,12,48,12,53,15,22,19,22,20,21,20,21,22,20,20,6.08,7.43,2
73,13,61,11,50,18,44,16,49,14,19,23,21,21,21,20,47,45,51,16,58,13,61,15,60,14,58,18,20,20,20,20,18,17,20,21,16,20,8.31,8.43,5
68,12,56,12,45,13,51,17,56,14,22,23,22,21,22,21,44,44,72,17,55,11,52,14,55,17,60,17,22,24,19,18,20,20,22,20,16,18,8.15,8.44,5
76,14,56,14,48,16,53,14,62,18,23,21,22,21,22,22,46,47,60,19,59,11,61,15,61,13,55,17,20,23,21,19,19,20,21,21,18,19,8.77,8.52,5
18,1,32,14,32,16,20,7,32,8,23,21,20,20,21,19,41,44,53,18,38,11,48,14,44,11,43,15,21,19,20,19,17,16,20,20,18,17,0,7,3
62,9,54,11,51,11,33,12,40,14,22,23,21,21,23,20,47,45,52,17,53,12,63,15,57,14,52,20,22,21,18,18,20,17,20,21,20,18,7.31,8.07,5
50,14,49,13,43,19,41,14,32,11,22,19,20,21,21,20,44,47,66,14,55,14,44,14,59,15,55,19,21,24,19,19,19,16,20,22,18,14,6.96,8,2
56,11,46,11,41,13,33,9,63,15,20,23,18,20,22,20,46,41,53,17,47,13,50,14,52,12,40,13,21,23,23,22,21,18,21,22,21,21,7.08,7.73,2
73,17,65,11,67,20,55,19,66,19,19,24,22,22,22,23,45,48,76,16,62,19,65,19,59,20,59,20,21,24,21,21,18,20,22,21,17,23,9.54,9.77,0
44,17,57,14,69,20,61,18,48,18,22,20,22,22,21,23,46,38,64,17,64,13,53,17,59,17,65,20,20,21,21,20,18,20,22,21,15,20,9.08,9.22,5
78,18,55,20,50,19,45,17,64,20,24,24,20,22,23,23,44,48,65,17,52,13,64,15,60,17,61,20,23,22,20,20,21,19,20,21,22,21,8.92,9.36,5
63,14,38,13,48,15,44,12,42,14,22,21,21,22,22,22,44,48,58,12,54,13,55,15,59,12,55,18,22,22,20,20,20,17,21,21,18,19,7.5,8.07,5
41,10,32,16,27,18,34,12,48,16,24,24,20,21,23,22,45,47,57,14,35,10,55,13,52,11,43,18,21,18,21,22,21,17,21,22,20,20,6.46,7.58,2
56,11,36,18,61,20,46,11,52,199,22,21,20,22,22,24,46,47,41,14,50,14,32,15,48,17,55,16,22,23,23,23,20,21,22,23,23,20,7.88,7.43,4
80,19,67,17,70,20,64,20,69,17,23,24,23,23,24,24,45,45,77,20,65,19,64,19,67,19,64,20,24,22,20,19,23,22,24,24,23,22,10,10,0
38,10,43,16,48,20,44,16,39,13,23,21,21,22,22,16,45,47,41,15,54,16,60,15,53,17,51,20,22,21,19,19,20,20,22,23,20,21,6.85,8.19,2
62,13,53,11,45,16,45,10,52,14,21,23,19,21,23,21,44,45,67,18,54,12,48,10,40,13,43,14,22,24,18,17,19,17,19,20,21,18,7.81,7.56,5
54,11,43,10,40,15,32,11,37,15,19,23,20,21,22,19,46,35,51,17,62,11,54,9,55,12,55,15,21,21,20,20,20,15,20,21,17,14,6.65,7.59,2
73,15,54,19,56,19,51,17,63,15,24,23,23,22,22,22,46,40,57,19,70,14,67,17,65,18,57,20,22,20,20,19,20,17,21,22,18,16,8.92,9.37,0
75,17,54,14,56,18,43,14,62,13,20,19,22,22,21,20,42,38,67,18,56,12,67,16,60,17,61,17,22,23,20,20,21,18,21,23,18,15,8.42,8.96,5
69,16,41,17,56,20,44,14,63,17,23,23,21,22,22,24,44,47,68,18,60,15,58,16,64,18,59,20,23,25,18,19,21,16,23,23,19,23,8.62,9.33,5
53,11,24,9,47,14,33,9,46,15,16,17,20,19,20,23,40,47,71,16,52,12,44,11,41,12,53,19,20,22,18,18,19,15,20,22,17,20,6.5,7.84,2
48,14,49,13,49,17,43,15,68,17,20,20,20,22,21,16,41,33,57,20,56,14,65,14,51,15,61,18,20,24,18,19,22,16,20,22,20,18,7.96,8.59,5
35,9,35,11,41,15,34,9,41,9,21,16,21,21,21,22,39,44,41,9,47,10,34,14,20,8,42,17,19,21,20,20,21,16,20,21,22,20,5.85,0,3
70,13,54,19,61,20,51,19,63,14,24,24,23,22,24,23,44,46,64,20,62,17,67,18,59,17,65,20,22,21,19,21,22,17,22,23,19,22,9.23,9.67,0
63,17,60,17,65,20,55,17,58,16,24,23,20,20,24,22,47,47,77,20,62,16,71,19,52,11,65,20,21,22,19,21,21,18,22,24,22,23,9.23,9.37,0
50,9,32,17,57,17,45,13,50,14,24,24,22,22,24,21,45,47,44,17,52,17,52,12,51,15,47,20,23,20,18,20,23,15,24,24,24,22,7.08,7.63,2
45,9,32,8,39,12,32,7,32,9,16,16,18,22,20,15,40,46,47,14,42,8,55,9,32,10,40,17,19,19,20,20,20,15,20,22,20,19,5.65,6.7,2
48,10,32,8,39,16,36,12,28,9,18,22,16,21,19,16,39,47,65,19,51,10,52,11,52,10,39,14,20,19,18,19,22,16,20,22,18,22,5.85,8,2
46,11,40,10,48,12,33,14,43,12,19,22,20,21,20,20,36,36,36,17,55,10,53,10,40,11,52,14,18,21,22,22,19,15,20,22,20,20,6.62,7.11,2
64,15,57,16,66,19,50,17,52,16,24,24,22,23,21,22,43,44,63,18,73,16,66,18,67,17,58,20,22,21,19,19,23,18,21,22,20,19,8.58,9.78,0
69,13,46,15,60,16,41,13,47,11,23,22,20,21,22,19,44,44,66,20,65,14,63,14,57,12,53,17,21,21,23,21,22,15,20,21,21,21,8.15,8.85,5
51,9,36,11,44,16,36,11,51,13,20,23,20,22,22,21,42,46,50,14,61,12,49,15,48,13,55,19,21,22,20,20,24,17,23,23,20,19,6.96,7.89,2
75,15,45,13,71,18,55,12,54,16,22,21,21,22,22,21,42,43,68,18,73,14,62,12,59,12,57,16,20,23,20,19,22,16,21,20,19,18,8.62,8.93,0
61,9,43,10,51,14,46,10,42,14,21,23,22,21,21,23,41,43,44,15,36,12,36,12,46,16,51,17,22,24,18,19,21,16,21,20,22,17,7.31,6.8,2
53,9,26,9,45,15,44,8,32,8,15,18,13,22,19,20,38,46,61,10,57,11,56,15,62,13,58,18,20,22,20,19,19,15,20,20,16,21,6.27,8.26,2
70,15,53,13,62,19,41,12,56,15,23,23,18,22,20,22,41,45,60,19,69,14,63,18,60,18,66,20,20,23,19,18,21,20,22,23,19,21,8.62,9.63,5
63,11,38,14,49,18,34,12,41,15,22,22,20,22,19,23,43,41,52,19,62,11,56,12,53,11,53,18,21,20,20,21,21,16,20,21,17,18,7.15,7.95,2
55,12,47,14,48,15,48,17,61,15,24,23,20,23,22,24,45,48,52,17,53,14,60,15,53,14,58,19,22,23,19,19,22,18,22,22,19,16,7.88,8.11,5
32,8,32,8,32,10,33,11,32,7,14,22,18,21,18,22,43,47,32,10,40,12,56,15,50,12,60,19,18,21,21,21,21,16,22,22,18,19,5.04,7.11,3
69,18,52,19,58,18,40,16,64,19,24,23,19,23,23,24,45,47,73,18,48,14,52,19,47,13,54,19,23,21,20,20,22,20,23,23,23,20,8.92,8.52,5
54,15,32,12,42,14,41,15,41,17,21,23,21,20,23,22,47,45,36,15,42,14,54,15,46,14,55,18,22,20,19,19,21,18,22,22,20,14,6.65,7.22,2
13,8,8,15,34,15,13,12,20,11,22,23,19,22,22,22,45,47,20,5,18,13,32,11,32,11,38,15,21,20,19,19,19,17,22,22,18,22,0,0,3
36,10,40,11,42,15,45,16,42,17,20,21,20,21,22,19,46,46,40,16,52,13,56,12,46,15,60,18,22,21,20,20,20,20,21,21,20,19,6.73,7.7,2
49,10,44,15,40,19,44,12,39,13,22,21,19,22,22,20,45,46,43,15,53,15,63,15,52,15,59,17,21,20,19,19,20,18,20,21,21,23,6.77,8,2
62,12,48,17,48,18,46,14,43,15,24,21,20,22,22,17,45,45,47,18,57,12,59,18,56,15,56,19,21,20,20,21,21,19,20,22,22,22,7.58,8.41,5
58,16,37,11,27,14,33,16,58,17,18,20,22,20,23,24,46,44,61,14,48,12,65,13,45,12,50,17,21,17,20,20,20,16,20,22,22,17,7.27,8,2
24,8,21,9,32,8,32,9,14,9,15,12,19,20,21,22,43,45,32,8,33,13,48,11,39,9,48,17,21,24,20,18,19,17,20,22,16,21,4.96,6.11,3
26,8,38,13,46,15,33,9,41,18,22,21,20,22,23,24,47,45,44,11,51,13,57,15,57,11,47,18,22,25,20,19,21,20,20,23,21,16,6.23,7.44,2
