AM_SE,AM_IA,DLDA_SE,DLDA_IA,DSGT_SE,DSGT_IA,ECCF_SE,ECCF_IA,DS_SE,DS_IA,DigitalSL_TW,DSL_OP,BE_TW,BE_OP,DataSL_TW,DSL_OP.1,OOPM_TW,OOPM_OP,AM4_SE,AM4_IA,AOA_SE,AOA_IA,COA_SE,COA_IA,CG_SE,CG_IA,OS_SE,OS_IA,AOA_TW,AOA_OP,CG_TW,CG_OP,PAL_TW,PAL_OP,OS_TW,OS_OP,OPST_TW,OPST_OP,GPA_SEM_3,GPA_SEM_4,cluster
13,8,15,10,23,9,43,11,14,13,19,20,20,20,17,15,36,34,32,10,45,13,32,9,40,12,43,16,19,15,18,19,23,18,22,18,21,14,0,5.89,3
13,6,17,6,9,12,33,11,23,14,19,20,20,20,18,17,41,42,25,5,44,8,32,8,42,8,49,13,18,19,18,18,18,18,21,19,20,18,0,0,3
18,8,41,10,33,13,37,14,37,14,18,13,23,22,21,16,39,38,32,12,62,8,42,8,42,9,54,12,22,17,18,19,20,18,22,20,20,12,0,6.59,3
62,20,64,17,71,20,55,16,68,18,23,22,24,22,22,19,46,46,71,19,72,17,66,14,54,14,66,20,22,22,21,21,21,18,22,20,22,20,9.69,9.52,0
17,12,21,12,32,15,42,13,18,15,21,14,22,20,20,20,44,37,36,16,58,16,48,12,55,15,61,15,23,21,17,20,21,18,19,21,18,0,0,7.81,3
19,11,55,17,50,18,57,15,48,16,23,22,23,20,22,18,46,47,52,17,55,14,44,15,66,15,65,17,22,21,21,22,20,19,22,21,23,23,0,8.37,2
13,10,19,12,43,16,22,11,22,14,19,14,20,19,19,21,36,44,19,7,40,10,32,7,32,8,36,11,15,13,17,18,18,19,22,21,21,19,0,0,3
18,8,35,12,39,12,51,13,44,16,18,13,22,20,16,21,40,37,44,14,58,13,37,13,58,10,63,17,21,17,17,18,20,20,22,22,21,20,0,7.81,2
32,15,32,15,32,11,20,9,17,10,23,17,18,20,22,22,47,47,43,12,33,13,41,11,32,14,39,14,22,23,18,12,20,18,21,20,0,0,0,6.37,3
32,8,39,8,53,10,25,8,40,10,18,18,18,16,18,18,44,46,47,12,41,8,43,9,46,11,43,9,19,15,17,15,21,16,23,17,19,19,5.81,6.37,2
60,19,72,15,67,17,63,16,52,16,24,23,24,23,24,20,48,45,66,16,71,19,72,20,72,20,65,15,23,23,23,24,23,24,23,21,24,24,9.19,10,0
78,20,70,18,79,18,73,20,70,20,21,21,21,23,21,21,41,42,71,17,74,19,69,16,72,18,69,16,20,22,20,21,20,20,22,21,19,19,10,9.93,0
55,19,53,15,71,17,32,9,41,18,20,20,22,18,24,15,47,42,65,19,65,19,50,9,63,18,48,8,21,22,23,23,22,17,20,15,21,21,7.58,8.7,5
60,13,64,14,56,11,59,11,54,16,21,18,19,18,23,23,45,40,62,16,64,17,65,18,68,20,67,19,20,21,23,24,23,23,21,22,22,22,8.27,9.81,0
62,17,68,15,75,19,65,18,63,18,23,20,24,22,24,18,47,44,73,20,73,20,69,17,73,20,70,18,23,24,23,24,23,22,24,23,24,24,9.81,10,0
32,12,32,9,44,9,20,8,32,8,18,18,18,17,22,14,40,40,43,11,52,17,40,9,38,8,50,16,17,19,20,15,20,16,20,20,19,19,0,6.59,3
73,17,58,11,60,14,56,16,42,19,22,18,20,17,23,18,43,44,56,12,65,18,55,11,56,12,61,15,20,21,22,19,22,18,22,20,20,20,8.38,8.41,5
60,14,50,10,48,9,53,16,45,15,21,20,20,19,22,20,45,46,60,16,65,19,56,13,60,16,59,15,19,21,20,20,22,19,23,21,19,19,7.58,8.85,5
60,13,53,13,41,15,39,5,34,12,21,19,19,16,22,19,42,45,53,13,45,8,50,11,47,9,47,9,17,14,19,15,22,18,19,15,20,20,0,6.89,2
74,13,39,11,59,10,50,14,41,13,22,20,20,18,20,14,40,44,52,11,52,11,56,14,50,10,50,10,18,16,20,16,20,19,21,17,20,20,7.69,7.56,5
51,12,67,6,37,8,36,9,51,12,17,18,18,17,20,16,38,34,48,11,49,12,51,13,45,9,51,13,17,16,19,15,19,18,22,19,19,19,6.73,6.96,2
43,13,56,14,50,12,39,14,61,17,22,22,23,20,24,24,47,48,63,17,61,16,52,10,54,11,60,15,23,22,23,18,23,18,24,21,22,22,7.69,8.81,5
40,9,36,9,56,13,32,8,40,9,20,20,18,19,22,20,40,44,50,13,45,10,47,11,50,13,45,10,16,14,20,18,19,16,21,17,19,19,6.04,6.89,2
70,20,64,16,67,17,66,16,57,16,22,18,22,18,23,21,42,47,71,20,64,15,58,11,58,11,56,10,20,19,22,18,22,18,22,17,20,20,9.69,8.44,0
61,16,59,14,72,17,59,16,46,14,23,20,23,19,24,20,48,45,69,19,61,14,67,18,70,20,58,12,23,20,23,24,23,23,21,18,24,24,8.88,9.52,0
80,20,71,17,71,19,65,18,61,20,24,23,23,22,24,23,48,48,75,20,74,19,75,20,75,20,71,17,23,23,23,24,23,24,24,23,24,24,10,10,0
74,19,64,16,73,16,66,18,66,16,22,18,23,20,24,22,48,48,68,16,74,20,74,20,73,19,68,16,23,24,23,23,23,24,24,22,23,23,10,10,0
62,17,66,15,67,16,55,15,70,18,22,18,23,21,24,24,49,48,60,12,72,20,71,19,65,15,71,19,22,24,23,21,23,23,24,24,23,23,9.5,9.63,0
80,20,69,18,72,19,72,19,70,18,24,20,24,21,23,19,40,44,74,19,75,20,75,20,75,20,72,18,23,24,22,24,23,24,24,23,22,22,10,10,0
73,20,67,11,72,15,69,15,58,16,24,20,23,21,23,19,42,44,65,15,69,18,71,19,62,13,66,16,23,23,21,19,23,23,24,22,21,21,9.54,9.85,0
71,20,69,17,77,14,70,16,64,18,24,20,22,22,23,15,42,46,73,20,60,11,69,17,60,11,55,8,22,18,23,18,23,22,22,16,21,21,9.96,8.93,0
68,18,69,16,79,17,62,15,62,15,24,21,20,19,23,20,41,48,68,17,69,18,69,18,66,16,68,17,22,22,22,21,22,22,22,22,24,24,9.65,10,0
61,15,61,13,60,12,37,14,55,14,24,20,22,18,23,19,40,33,48,8,57,14,60,16,56,13,51,10,23,20,23,20,23,22,24,18,22,22,7.96,7.93,5
60,14,61,13,55,16,60,7,42,14,23,21,20,18,23,22,41,46,60,15,49,8,58,14,66,19,51,9,22,16,22,23,23,21,22,17,23,23,7.88,8.41,5
49,14,22,8,39,10,22,8,32,11,22,18,20,18,23,17,35,42,41,9,48,14,41,9,39,8,45,12,22,20,21,16,22,17,22,19,20,20,0,6.78,3
48,16,61,14,71,18,59,11,46,16,21,20,18,19,23,17,37,44,55,12,57,13,54,11,49,8,57,13,22,19,21,16,22,18,23,20,20,20,8.42,7.74,5
51,14,58,9,59,10,49,16,45,11,24,19,22,17,23,18,38,40,64,19,59,16,56,14,58,15,52,11,21,21,23,21,23,20,24,19,21,21,7.31,8.81,5
46,13,32,11,39,8,33,11,34,12,24,19,22,18,24,14,37,44,52,15,47,12,44,10,46,11,52,15,20,18,21,17,22,17,24,21,19,19,8.81,7.04,2
64,16,66,15,66,18,55,13,53,19,24,21,20,21,24,23,44,42,64,16,70,20,58,12,57,11,67,18,20,23,23,18,23,19,24,23,23,23,9.23,9.26,0
66,17,69,12,74,13,65,14,49,12,23,19,22,20,23,13,42,38,65,17,69,20,66,18,59,13,60,14,22,24,23,20,23,23,22,20,21,21,9.31,9.41,0
53,15,70,16,63,14,64,17,45,16,21,23,20,20,21,23,41,48,68,19,68,19,65,17,63,16,66,18,22,23,23,22,22,22,21,22,20,20,8.81,9.85,0
66,19,56,10,56,13,65,10,52,11,24,19,21,18,23,17,37,38,67,20,60,15,64,18,52,10,67,20,21,20,22,17,23,23,22,24,20,20,8.35,9.37,5
61,17,61,17,70,17,53,13,51,19,24,21,23,32,24,23,47,48,61,13,70,19,68,18,68,18,65,16,22,23,23,23,23,23,23,22,24,24,8.88,9.73,0
45,11,60,13,42,15,49,10,51,14,24,20,22,20,23,18,42,46,61,17,53,12,61,17,56,14,61,17,23,19,23,20,23,22,21,21,22,22,7.23,8.78,5
76,18,69,16,67,14,59,16,61,20,24,21,20,19,23,17,42,48,72,20,72,20,71,19,71,19,60,12,22,24,22,23,23,23,22,19,22,22,9.81,9.7,0
61,17,53,12,52,17,51,10,43,13,21,20,20,20,23,17,44,34,47,8,61,17,58,15,52,11,61,17,19,20,20,17,23,21,21,21,19,19,7.73,8.14,5
80,20,78,19,78,19,68,19,65,20,24,23,22,23,24,20,49,46,76,20,66,13,75,19,76,20,73,18,23,20,23,24,23,23,24,23,23,23,10,9.85,0
56,14,46,15,37,15,37,13,49,12,24,21,21,19,24,18,46,38,58,16,52,12,51,11,51,11,60,17,22,19,23,18,23,18,23,22,20,20,7.46,8.15,2
50,15,57,15,58,16,46,11,45,15,24,21,21,19,23,18,46,34,57,14,63,18,63,18,62,17,54,12,23,23,23,22,23,23,24,20,22,22,7.73,9.04,5
49,18,63,14,68,18,53,13,48,17,24,22,23,22,24,18,48,48,63,16,68,19,60,14,68,19,62,15,23,23,23,23,23,20,24,21,24,24,8.35,9.37,0
59,16,44,9,68,17,55,15,38,11,21,20,23,21,24,16,47,44,55,12,67,20,55,12,61,16,57,13,22,24,23,22,23,19,23,20,21,21,8.12,8.66,5
66,14,61,11,71,18,60,11,59,15,18,20,19,21,21,24,44,46,58,12,70,20,66,17,66,17,66,17,20,23,20,21,23,22,23,22,21,21,9.04,9.63,0
36,15,43,12,50,13,32,9,32,7,16,18,18,18,18,10,39,34,43,10,43,10,46,12,42,9,42,9,17,15,19,15,19,17,18,15,18,18,5.81,6.33,2
67,19,45,17,72,18,34,12,57,15,24,22,22,22,24,23,49,46,66,18,68,19,63,16,65,17,54,10,23,23,23,22,23,22,23,18,23,23,8.46,9.41,5
55,14,59,15,51,12,53,11,41,10,20,20,20,19,24,21,44,46,48,8,59,15,54,12,59,15,48,8,20,19,20,19,22,19,22,16,19,19,7.54,7.54,5
67,18,59,12,71,18,57,17,59,15,24,20,22,22,23,21,47,47,71,20,70,19,70,19,68,18,68,18,22,23,22,22,23,23,22,22,21,21,9.08,10,0
70,18,67,12,53,13,50,17,47,15,24,21,23,21,24,19,46,48,62,15,68,19,63,16,65,17,62,15,21,22,23,22,22,21,22,20,22,22,8.46,9.52,0
69,14,38,12,41,10,32,9,19,7,21,17,22,20,24,17,45,44,55,16,51,13,57,17,48,11,52,14,20,18,22,18,23,22,23,20,21,21,0,7.81,2
63,13,68,16,60,16,56,11,49,13,19,20,16,17,20,23,42,46,55,11,56,12,62,16,50,8,65,18,21,18,20,15,23,22,21,22,19,19,8.58,8.07,5
55,16,58,13,50,16,61,9,64,16,17,20,16,16,24,15,42,46,64,18,52,10,60,15,66,19,67,20,19,16,20,22,21,20,21,23,21,21,8.31,9.33,5
18,1,32,5,22,8,19,9,19,8,17,18,15,17,19,11,42,40,36,10,38,11,38,11,36,10,41,13,19,16,19,16,21,17,19,18,20,20,0,6,3
32,7,6,3,14,5,32,9,23,8,18,17,14,17,20,13,35,34,40,13,41,14,35,10,40,13,41,14,19,18,19,18,19,16,19,18,18,18,0,6.3,3
65,17,64,15,57,17,62,16,41,12,24,22,22,22,23,21,44,45,62,15,69,20,59,13,65,17,56,11,23,24,23,22,23,20,23,18,23,23,8.77,9.07,0
65,15,64,13,51,15,33,11,52,12,23,20,20,18,20,20,40,41,56,13,60,16,54,12,53,11,48,8,20,20,21,17,19,17,18,14,23,23,7.96,7.59,5
64,14,56,9,62,16,45,13,26,13,23,21,21,17,22,14,41,34,61,17,65,20,56,14,65,20,53,12,22,24,23,24,22,20,23,19,22,22,7.62,9.07,5
75,19,58,16,68,20,54,13,54,16,23,21,24,20,24,21,44,44,70,19,71,20,70,19,67,17,67,17,22,24,23,22,23,23,23,22,23,23,8.92,10,0
79,18,69,13,66,17,69,18,61,16,23,18,23,23,23,24,41,48,70,18,69,17,61,12,73,20,67,16,23,22,23,24,23,19,23,22,23,23,9.85,9.7,0
52,14,44,10,39,13,32,12,37,10,23,18,22,17,22,15,41,39,51,13,49,12,54,15,54,15,48,11,22,19,20,19,21,20,19,16,21,21,6.38,7.41,2
66,19,57,15,62,17,59,16,50,13,23,19,23,20,24,17,48,48,66,17,70,20,66,17,64,16,69,19,23,24,22,21,23,22,21,22,22,22,8.92,10,0
65,20,72,14,71,13,68,13,39,11,24,21,22,20,22,23,43,44,54,9,63,15,67,18,66,17,52,8,22,20,21,21,22,22,18,14,21,21,9.38,8.84,0
54,12,56,9,47,17,55,13,58,13,23,21,21,17,23,13,41,46,54,12,62,17,54,12,54,12,53,11,23,22,21,18,23,19,22,18,23,23,7.62,7.93,5
40,12,61,9,52,16,40,17,55,10,23,21,24,20,23,21,44,45,54,12,56,13,60,16,56,13,60,16,22,19,23,20,23,22,22,21,24,24,7.38,8.26,5
76,20,70,18,73,18,68,19,62,19,24,23,22,21,22,24,49,49,71,17,71,17,74,19,75,20,72,18,23,22,23,24,23,23,23,23,23,23,10,10,0
68,19,75,19,59,19,69,18,68,19,23,22,24,23,24,24,48,49,69,16,75,20,74,19,75,20,74,19,23,24,23,24,23,23,23,23,24,24,9.85,10,0
80,19,59,16,60,14,70,18,57,14,23,20,24,21,24,16,41,46,61,13,58,11,68,18,64,15,64,15,23,18,23,21,23,23,23,21,23,23,9.23,8.89,0
32,10,37,8,38,10,54,9,37,10,23,18,21,17,21,10,39,36,49,13,52,15,49,13,50,14,43,9,23,21,19,18,20,18,21,16,22,22,5.85,7.33,2
70,18,69,14,72,20,66,19,56,14,23,21,22,20,23,15,48,45,66,16,71,19,66,16,72,20,69,18,22,23,22,24,23,22,22,22,24,24,9.65,10,0
72,20,66,17,72,19,75,20,68,20,23,21,24,23,24,24,48,48,75,19,76,20,76,20,76,20,73,18,23,24,23,24,23,24,20,20,24,24,10,10,0
63,18,68,12,55,14,60,16,59,16,24,22,22,22,22,24,47,48,62,14,71,20,68,18,67,17,67,17,23,24,22,22,22,22,21,21,23,23,9.23,9.91,0
71,17,61,11,54,15,50,10,57,19,20,19,21,22,22,22,47,47,63,16,60,14,56,11,68,19,63,16,20,19,22,23,23,18,22,21,21,21,8.58,8.99,5
57,19,60,13,60,18,37,14,58,15,24,18,22,21,23,18,42,41,60,15,67,20,61,16,61,16,60,15,23,24,23,22,23,22,23,21,22,22,8.42,9.37,5
45,16,59,11,49,18,60,16,55,15,24,20,24,20,24,19,44,42,49,8,67,20,63,17,66,19,57,13,22,24,23,23,22,22,22,19,23,23,8.19,8.96,5
66,15,63,12,75,16,73,12,57,15,24,22,24,18,24,20,48,47,59,11,63,14,63,14,71,19,65,15,23,20,22,23,23,20,23,21,24,24,9.54,9.33,0
61,13,60,15,52,18,58,16,32,14,24,23,24,20,22,22,47,42,56,12,58,13,53,10,58,13,59,14,22,19,19,18,23,18,20,19,21,21,8.08,8.1,5
74,20,75,17,74,19,68,19,68,19,24,23,24,22,24,24,45,48,76,20,76,20,76,20,76,20,70,16,23,24,22,24,23,24,23,22,24,24,10,10,0
18,9,17,5,42,9,19,3,32,8,23,18,21,17,20,15,43,42,38,9,41,11,44,13,44,13,41,11,20,17,22,19,23,20,23,18,21,21,0,6.63,3
46,15,33,10,61,15,50,11,32,10,24,20,24,17,19,10,43,38,49,11,50,12,53,14,55,15,46,9,23,19,22,20,23,20,23,18,21,21,6.81,7.67,2
73,19,66,13,57,19,56,14,64,16,24,22,23,18,24,18,48,48,70,19,71,20,67,17,71,20,53,8,23,24,23,24,23,22,22,16,24,24,9.38,9.52,0
71,20,72,17,76,20,62,19,65,19,24,23,24,21,24,24,46,48,75,20,75,20,75,20,75,20,75,20,23,24,23,24,23,24,23,24,24,24,10,10,0
38,15,57,14,59,20,55,15,58,17,24,23,22,20,24,19,46,48,61,15,68,20,61,15,68,20,64,17,23,24,23,24,23,21,23,22,23,23,8.31,9.67,5
39,12,32,9,68,19,39,14,32,14,23,18,22,16,24,24,45,47,45,8,50,11,50,11,48,10,50,11,22,18,18,15,22,18,22,18,20,20,6.88,7.32,2
73,19,64,11,66,17,33,10,42,14,23,21,22,16,21,18,41,39,61,16,64,18,57,13,54,11,60,15,23,23,23,18,23,20,23,21,22,22,8.23,8.93,5
64,17,33,12,33,12,35,8,28,10,22,18,22,17,19,19,42,40,48,12,47,11,54,16,47,11,53,15,20,17,22,18,21,21,22,20,21,21,6.54,7.44,2
69,20,73,17,54,18,70,18,52,13,24,22,24,22,24,23,44,48,71,19,72,20,71,19,68,17,68,17,23,24,23,22,23,23,23,22,23,23,9.23,10,0
58,19,56,9,57,16,54,15,37,13,24,21,23,20,22,19,47,46,66,19,64,18,63,17,60,15,57,13,23,23,22,20,23,22,23,20,23,23,7.96,9.56,5
67,19,60,15,75,20,65,20,59,15,24,22,24,22,24,23,47,46,64,14,70,18,70,18,73,20,67,16,23,23,23,24,23,23,23,22,23,23,9.54,9.81,0
70,19,56,17,68,19,66,18,54,18,24,23,21,20,24,19,47,47,63,14,69,18,66,16,72,20,69,18,23,23,23,24,23,22,23,23,23,23,9.38,9.81,0
53,19,51,15,59,18,62,17,56,16,23,21,20,19,23,24,42,46,56,11,68,19,59,13,69,20,66,18,23,23,20,24,22,19,23,23,22,22,8.5,9.25,5
65,17,65,16,71,19,56,16,65,17,23,23,19,19,22,24,46,48,69,18,65,15,60,12,72,20,71,19,23,21,23,24,23,19,23,23,24,24,9.65,9.8,0
69,18,63,8,49,19,40,10,35,10,23,21,21,18,24,24,48,47,56,13,63,18,50,9,62,17,54,12,22,22,23,22,22,17,23,19,24,24,7.81,8.22,5
61,17,68,13,73,17,68,17,65,15,23,21,22,18,23,20,46,46,63,14,71,19,72,20,68,17,68,17,21,22,22,22,23,24,23,22,22,22,9.81,9.81,0
40,11,20,8,34,8,40,5,33,14,24,20,20,18,20,17,48,48,47,12,43,9,53,16,41,8,49,13,17,14,17,14,18,19,20,18,19,19,0,6.63,3
45,14,61,13,63,15,53,12,53,15,20,19,20,16,21,21,42,48,55,12,61,16,64,18,54,11,63,17,19,20,21,17,23,23,23,22,23,23,7.73,8.78,5
17,8,20,7,19,9,32,8,32,9,23,19,21,17,19,14,37,39,35,8,38,10,37,9,35,8,43,13,22,17,21,16,21,16,23,20,20,20,0,5.74,3
32,9,48,9,43,11,40,11,32,9,20,18,20,17,18,16,38,43,49,13,50,14,53,16,50,14,46,11,21,19,21,19,19,20,22,18,19,19,5.85,7.41,2
50,11,45,8,44,15,40,9,48,15,23,19,20,16,20,20,48,48,47,9,48,10,45,8,54,14,50,11,22,17,23,20,20,15,23,18,23,23,6.38,7.07,2
32,6,33,11,62,10,12,8,39,11,22,19,16,16,18,19,37,43,44,12,38,8,50,16,41,10,43,11,22,16,21,17,20,20,23,18,19,19,0,6.74,3
15,5,32,4,49,10,34,10,32,12,22,18,21,19,20,17,44,43,45,12,42,10,42,10,47,13,39,8,22,17,23,20,21,17,23,17,21,21,0,6.81,3
20,5,37,10,53,12,21,8,41,15,22,17,20,18,20,18,48,47,41,8,56,18,50,14,50,14,46,11,22,22,21,19,23,20,23,18,21,21,0,7.3,2
32,8,42,9,60,14,45,12,35,11,22,17,21,16,20,16,41,45,46,10,52,14,43,8,55,16,49,12,22,20,23,22,22,16,23,19,21,21,6.35,7.44,2
10,2,18,5,23,9,35,10,21,5,23,19,19,16,19,13,37,40,40,12,37,10,34,8,36,9,39,11,18,15,18,15,18,14,22,18,19,19,0,5.89,3
