"Timestamp","AM_4","AOA","COA","CG","OS","AOA_Lab","CG_Lab","PA_Lab","OS_Lab","OST_LAB","GPA_SEMIV"
"2021/10/02 11:58:38 am GMT+5:30","93","86","83","79","70","49","46","45","48","46","9.56"
"2021/10/02 11:59:37 am GMT+5:30","94","71","76","82","61","43","46","43","47","47","9.21"
"2021/10/02 12:00:28 pm GMT+5:30","58","54","50","47","46","42","44","38","44","42","6.46"
"2021/10/02 12:01:59 pm GMT+5:30","60","73","75","74","51","45","44","42","46","46","8.11"
"2021/10/02 12:13:26 pm GMT+5:30","60","50","32","48","42","42","39","39","40","40","0"
"2021/10/02 12:14:26 pm GMT+5:30","71","80","73","70","67","43","42","43","41","42","8.89"
"2021/10/02 12:18:59 pm GMT+5:30","95","91","76","78","75","45","39","43","42","39","9.54"
"2021/10/02 12:20:46 pm GMT+5:30","89","91","74","81","71","44","39","37","42","41","9.3"
"2021/10/02 12:22:03 pm GMT+5:30","84","82","59","73","59","45","40","45","44","40","8.62"
"2021/10/02 12:23:23 pm GMT+5:30","78","63","54","65","45","37","41","36","41","37","7.3"
"2021/10/02 12:24:39 pm GMT+5:30","47","72","57","58","36","43","46","43","45","47","0"
"2021/10/02 12:25:26 pm GMT+5:30","81","91","71","70","62","37","39","39","43","40","8.81"
"2021/10/02 12:26:18 pm GMT+5:30","76","72","72","78","65","41","40","40","42","44","8.73"
"2021/10/02 12:27:37 pm GMT+5:30","78","84","71","78","64","35","39","39","43","36","8.63"
"2021/10/02 12:28:34 pm GMT+5:30","82","77","76","79","64","34","41","43","42","35","8.95"
"2021/10/02 12:29:29 pm GMT+5:30","75","56","72","70","47","34","33","34","39","35","7.37"
"2021/10/02 12:30:39 pm GMT+5:30","78","73","61","69","62","44","40","42","41","42","8.29"
"2021/10/02 12:31:20 pm GMT+5:30","88","85","88","78","70","42","41","40","39","44","9.52"
"2021/10/02 12:32:15 pm GMT+5:30","78","81","74","80","66","41","46","43","42","41","9.17"
"2021/10/02 12:33:06 pm GMT+5:30","92","84","86","83","74","45","40","44","41","38","9.63"
"2021/10/02 12:35:04 pm GMT+5:30","64","57","72","68","50","41","41","37","41","43","7.44"
"2021/10/02 12:35:46 pm GMT+5:30","73","66","66","59","57","43","37","41","41","48","7.58"
"2021/10/02 12:36:31 pm GMT+5:30","89","81","82","85","81","44","41","41","42","44","10"
"2021/10/02 12:37:13 pm GMT+5:30","81","75","73","77","63","45","43","35","43","43","8.89"
"2021/10/02 12:38:25 pm GMT+5:30","82","69","69","74","65","37","41","40","39","43","8.26"
"2021/10/02 12:43:24 pm GMT+5:30","66","70","70","59","50","45","39","41","40","43","7.73"
"2021/10/02 12:44:25 pm GMT+5:30","79","78","87","76","74","39","38","39","39","39","9.1"
"2021/10/02 12:46:40 pm GMT+5:30","87","49","50","45","40","40","40","28","33","39","6.8"
"2021/10/02 12:47:42 pm GMT+5:30","91","76","75","81","66","38","39","36","33","39","9.03"
"2021/10/02 12:49:46 pm GMT+5:30","94","84","81","78","81","41","36","35","33","37","9.54"
"2021/10/02 12:51:46 pm GMT+5:30","71","78","81","82","81","44","40","43","38","41","9.54"
"2021/10/02 12:52:40 pm GMT+5:30","74","67","63","55","54","39","41","40","40","45","7.52"
"2021/10/02 12:53:39 pm GMT+5:30","93","81","75","75","63","42","44","41","37","47","9.19"
"2021/10/02 12:56:07 pm GMT+5:30","70","64","57","65","59","41","36","42","38","41","7.54"
"2021/10/02 12:57:29 pm GMT+5:30","76","65","51","69","45","42","42","39","39","38","7.54"
"2021/10/02 12:59:08 pm GMT+5:30","97","88","79","79","63","42","37","43","41","44","9.19"
"2021/10/02 1:00:33 pm GMT+5:30","81","70","65","72","62","44","40","40","42","41","8.52"
"2021/10/02 1:01:43 pm GMT+5:30","83","87","67","75","60","47","39","39","40","41","8.89"
"2021/10/02 1:04:23 pm GMT+5:30","72","53","51","57","42","33","33","35","33","33","6.33"
"2021/10/02 1:05:36 pm GMT+5:30","85","64","56","63","55","39","36","42","39","43","7.78"
"2021/10/02 1:06:47 pm GMT+5:30","93","80","68","80","65","44","37","41","39","44","9"
"2021/10/02 1:08:02 pm GMT+5:30","73","61","61","56","55","40","35","31","38","40","7.33"
"2021/10/02 1:09:19 pm GMT+5:30","90","77","76","78","75","42","36","31","35","41","9.15"
"2021/10/02 1:10:32 pm GMT+5:30","68","66","60","57","51","42","44","41","35","44","7.4"
"2021/10/02 1:11:30 pm GMT+5:30","92","84","73","68","60","40","40","41","38","41","8.88"
"2021/10/02 6:53:43 pm GMT+5:30","75","43","33","46","31","32","29","29","34","26","0"
"2021/10/02 6:55:10 pm GMT+5:30","94","81","78","79","72","46","46","42","39","43","9.37"
"2021/10/02 6:55:34 pm GMT+5:30","77","77","65","79","68","39","36","41","39","39","8.51"
"2021/10/02 6:56:00 pm GMT+5:30","62","68","28","12","11","38","43","33","36","34","0"
"2021/10/02 6:56:29 pm GMT+5:30","85","83","81","78","76","43","42","40","39","43","9.67"
"2021/10/02 6:56:54 pm GMT+5:30","92","80","75","77","79","41","37","33","37","43","9.3"
"2021/10/02 6:57:16 pm GMT+5:30","26","59","26","53","64","37","41","31","37","35","0"
"2021/10/02 6:57:42 pm GMT+5:30","70","67","63","77","79","41","38","40","36","36","8.29"
"2021/10/02 6:58:10 pm GMT+5:30","96","78","85","81","79","45","42","42","40","44","9.7"
"2021/10/02 6:58:35 pm GMT+5:30","62","58","48","60","60","33","40","28","36","40","6.89"
"2021/10/02 7:00:27 pm GMT+5:30","84","84","82","76","76","45","44","42","37","40","9.73"
"2021/10/02 7:00:51 pm GMT+5:30","48","55","56","46","65","33","30","30","32","27","6.06"
"2021/10/02 7:01:13 pm GMT+5:30","52","57","67","60","68","41","40","41","43","40","7.43"
"2021/10/02 7:01:35 pm GMT+5:30","67","71","76","74","76","40","42","35","41","36","8.43"
"2021/10/02 7:02:07 pm GMT+5:30","89","66","66","72","77","46","40","40","42","34","8.44"
"2021/10/02 7:02:38 pm GMT+5:30","79","70","76","74","72","43","37","39","42","37","8.52"
"2021/10/02 7:02:57 pm GMT+5:30","71","49","62","55","58","40","40","33","40","35","7"
"2021/10/02 7:03:40 pm GMT+5:30","69","65","78","71","72","43","39","37","41","38","8.07"
"2021/10/02 7:04:06 pm GMT+5:30","80","69","58","74","74","45","36","35","42","32","8"
"2021/10/02 7:04:29 pm GMT+5:30","70","60","64","64","53","44","38","39","43","42","7.73"
"2021/10/02 7:04:59 pm GMT+5:30","92","81","84","79","79","45","45","38","43","40","9.77"
"2021/10/02 7:05:19 pm GMT+5:30","81","77","70","76","85","41","42","38","43","35","9.22"
"2021/10/02 7:05:40 pm GMT+5:30","82","65","79","77","81","45","41","40","41","43","9.36"
"2021/10/02 7:06:05 pm GMT+5:30","70","67","70","71","73","44","40","37","42","37","8.07"
"2021/10/02 7:06:29 pm GMT+5:30","71","45","68","63","61","39","40","38","43","40","7.58"
"2021/10/02 7:06:59 pm GMT+5:30","55","64","47","65","71","45","43","41","45","43","7.43"
"2021/10/02 7:07:21 pm GMT+5:30","97","84","83","86","84","46","46","45","48","45","10"
"2021/10/02 7:07:49 pm GMT+5:30","56","70","75","70","71","43","39","40","45","41","8.19"
"2021/10/02 7:08:15 pm GMT+5:30","85","66","58","53","57","46","38","36","39","39","7.56"
"2021/10/02 7:08:40 pm GMT+5:30","68","73","63","67","70","42","35","35","41","31","7.59"
"2021/10/02 7:09:34 pm GMT+5:30","76","84","84","83","77","42","40","37","43","34","9.37"
"2021/10/02 7:09:56 pm GMT+5:30","85","68","83","77","78","45","39","39","44","33","8.96"
"2021/10/02 7:10:21 pm GMT+5:30","86","75","74","82","79","48","40","37","46","42","9.33"
"2021/10/02 7:11:17 pm GMT+5:30","87","64","55","53","72","42","37","34","42","37","7.84"
"2021/10/02 7:11:47 pm GMT+5:30","77","70","79","66","79","44","36","38","42","38","8.59"
"2021/10/02 7:12:25 pm GMT+5:30","50","57","48","28","59","40","37","37","41","42","0"
"2021/10/02 7:12:51 pm GMT+5:30","84","79","85","76","85","43","40","39","45","41","9.67"
"2021/10/02 7:13:25 pm GMT+5:30","97","78","90","63","85","43","40","39","46","45","9.37"
"2021/10/02 7:13:49 pm GMT+5:30","61","69","64","66","67","43","40","38","48","46","7.63"
"2021/10/02 7:14:19 pm GMT+5:30","61","50","64","42","57","38","38","35","42","39","6.7"
"2021/10/02 7:14:57 pm GMT+5:30","84","61","63","62","53","39","40","38","42","40","8"
"2021/10/02 7:15:23 pm GMT+5:30","53","65","63","51","66","39","37","34","42","40","7.11"
"2021/10/02 7:15:46 pm GMT+5:30","81","89","84","84","78","43","44","41","43","39","9.78"
"2021/10/02 7:16:10 pm GMT+5:30","86","79","77","69","70","42","38","37","41","42","8.85"
"2021/10/02 7:16:34 pm GMT+5:30","64","73","64","61","74","43","44","41","46","39","7.89"
"2021/10/02 7:17:13 pm GMT+5:30","86","87","74","71","73","43","40","38","41","37","8.93"
"2021/10/02 7:17:43 pm GMT+5:30","59","48","48","62","68","46","39","37","41","39","6.8"
"2021/10/02 7:18:10 pm GMT+5:30","71","68","71","75","76","42","37","34","40","37","8.26"
"2021/10/02 7:18:29 pm GMT+5:30","79","83","81","78","86","43","39","41","45","40","9.63"
"2021/10/02 7:18:51 pm GMT+5:30","71","73","68","64","71","41","37","37","41","35","7.95"
"2021/10/02 7:19:32 pm GMT+5:30","69","67","75","67","77","45","41","40","44","35","8.11"
"2021/10/02 7:19:55 pm GMT+5:30","42","52","71","62","79","39","38","37","44","37","7.11"
"2021/10/02 7:20:16 pm GMT+5:30","91","62","71","60","73","44","42","42","46","43","8.52"
"2021/10/02 7:20:40 pm GMT+5:30","51","56","69","60","73","42","40","39","44","34","7.22"
"2021/10/02 7:20:59 pm GMT+5:30","25","31","43","43","53","41","38","36","44","40","0"
"2021/10/02 7:21:32 pm GMT+5:30","56","65","68","61","78","43","40","40","42","39","7.7"
"2021/10/02 7:22:00 pm GMT+5:30","58","68","78","67","76","41","38","38","41","44","8"
"2021/10/02 7:22:29 pm GMT+5:30","65","69","77","71","75","41","41","40","42","44","8.41"
"2021/10/02 7:23:05 pm GMT+5:30","75","60","78","57","67","38","40","36","42","39","8"
"2021/10/02 7:23:29 pm GMT+5:30","40","46","59","48","65","45","38","36","42","37","6.11"
"2021/10/02 7:23:57 pm GMT+5:30","55","64","72","68","65","47","39","41","43","37","7.44"
"2021/10/02 7:24:18 pm GMT+5:30","41","56","73","61","59","44","38","35","44","37","6.7"
"2021/10/02 7:24:46 pm GMT+5:30","42","46","46","47","56","43","39","38","43","32","5.78"
"2021/10/02 7:25:15 pm GMT+5:30","45","49","54","62","68","42","40","38","43","35","6.67"
"2021/10/02 7:25:38 pm GMT+5:30","56","53","64","69","53","45","36","35","43","34","6.81"
"2021/10/02 7:26:07 pm GMT+5:30","32","46","25","46","53","45","30","38","41","38","0"
"2021/10/02 7:26:30 pm GMT+5:30","49","56","63","59","60","44","40","40","42","37","6.85"
"2021/10/02 7:27:11 pm GMT+5:30","68","66","63","64","50","43","41","42","43","46","7.52"
"2021/10/02 7:27:37 pm GMT+5:30","19","47","64","56","59","35","38","36","43","30","0"
"2021/10/02 7:28:29 pm GMT+5:30","47","55","68","62","67","41","39","39","45","35","6.93"