AM_3,DLDA,DSGT,ECCF,DS,DLDA_Lab,BE_Lab,DS_Lab,OOPM_Lab,AM_4,AOA,COA,CG,OS,AOA_Lab,CG_Lab,PA_Lab,OS_Lab,OST_LAB,OOPM_A,AM_3_A,DS_A,DLDA_A,DIS_A,ECCF_A,DLDA_Lab_A,DS_Lab_A,OOPM_Lab_A,ECCF_Lab_A,AM_3_Tutorial_A,GPA_SEMIII,GPA_SEMIV
94,70,82,71,70,47,46,48,94,93,86,83,79,70,49,46,45,48,46,65.4,48.84,72.5,66.667,74,73.33,85.7,80,100,100,88,9.08,9.56
96,75,88,76,78,46,45,48,90,94,71,76,82,61,43,46,43,47,47,80.8,76.74,77.5,80,76,77.78,85.7,60,80,100,63,9.54,9.21
26,53,65,46,60,46,45,45,90,58,54,50,47,46,42,44,38,44,42,80.769,81.395,90,93.333,84.78,91.11,100,90,90,75,87.5,0,6.46
50,64,58,67,78,45,43,48,91,60,73,75,74,51,45,44,42,46,46,84.615,79.07,82.5,77.778,91.3,71.11,85.71,100,100,75,87.5,7.54,8.11
66,70,59,52,46,40,42,45,90,60,50,32,48,42,42,39,39,40,40,100,79.07,75,88.889,86.96,84.44,100,90,100,87.5,87.5,7.12,0
68,67,76,75,78,41,44,43,90,71,80,73,70,67,43,42,43,41,42,92.308,79.07,87.5,97.778,95.65,91.11,100,80,100,87.5,87.5,8.5,8.89
94,87,72,76,73,43,45,46,88,95,91,76,78,75,45,39,43,42,39,88.462,86.047,85,97.778,91.3,95.56,100,80,100,100,100,9.23,9.54
84,79,70,78,67,45,45,45,87,89,91,74,81,71,44,39,37,42,41,92.308,67.442,70,88.889,89.13,75.56,100,90,100,87.5,100,8.92,9.3
84,79,71,53,70,45,44,46,94,84,82,59,73,59,45,40,45,44,40,84.615,72.093,72.5,80,75.74,73.33,100,90,100,75,62.5,8.62,8.62
75,65,73,27,57,37,42,43,82,78,63,54,65,45,37,41,36,41,37,65.385,44.186,70,66.667,50,68.89,71.43,100,100,75,100,0,7.3
70,73,70,48,76,45,43,46,95,47,72,57,58,36,43,46,43,45,47,73.077,69.767,87.5,95.556,95.65,86.67,85.71,90,100,100,87.5,8.08,0
84,67,76,64,70,45,45,42,73,81,91,71,70,62,37,39,39,43,40,65.385,51.163,57.5,60,60.87,64.44,71.43,90,100,75,75,8.46,8.81
83,65,68,69,76,41,45,48,89,76,72,72,78,65,41,40,40,42,44,69.231,58.14,60,71.111,60.87,71.11,71.43,80,100,62.5,87.5,8.46,8.73
73,64,50,55,63,44,42,43,75,78,84,71,78,64,35,39,39,43,36,65.385,39.535,72.5,66.667,67.39,68.89,100,90,100,87.5,75,7.38,8.63
78,61,50,65,63,41,43,45,79,82,77,76,79,64,34,41,43,42,35,57.692,51.163,65,71.111,69.57,75.56,85.71,80,90,87.5,75,7.73,8.95
75,45,63,52,44,42,41,36,73,75,56,72,70,47,34,33,34,39,35,69.231,46.512,67.5,68.889,63.04,60,100,90,100,87.5,87.5,6.81,7.37
49,48,67,44,43,45,43,48,84,78,73,61,69,62,44,40,42,41,42,73.077,55.814,65,80,71.74,75.56,85.71,100,80,75,75,5.96,8.29
88,58,69,53,69,44,43,45,87,88,85,88,78,70,42,41,40,39,44,76.92,34.884,62.5,60,54.35,51.11,71.43,80,90,75,37.5,7.85,9.52
64,70,85,65,79,42,40,46,85,78,81,74,80,66,41,46,43,42,41,53.846,60.465,80,73.333,78.26,77.78,85.71,90,63.64,100,87.5,8.5,9.17
69,60,76,62,67,39,45,45,85,92,84,86,83,74,45,40,44,41,38,92.308,74.419,80,86.667,82.61,84.44,100,80,90.91,90,100,7.85,9.63
65,49,55,44,56,42,43,46,89,64,57,72,68,50,41,41,37,41,43,88.462,60.465,67.5,77.778,67.39,71.11,71.43,90,90.91,100,100,6.5,7.44
58,55,54,58,64,46,45,47,89,73,66,66,59,57,43,37,41,41,48,84.615,86.047,92.5,95.556,97.83,91.11,100,90,90.91,100,100,6.92,7.58
83,70,68,71,72,45,43,48,91,89,81,82,85,81,44,41,41,42,44,80.769,69.767,77.5,88.889,78.26,82.22,100,80,81.82,90,75,8.62,10
77,64,56,55,57,44,44,44,90,81,75,73,77,63,45,43,35,43,43,80.769,72.093,82.5,80,84.78,82.22,85.71,90,90.91,100,100,7.5,8.89
79,40,50,53,50,38,43,45,90,82,69,69,74,65,37,41,40,39,43,76.923,72.093,80,88.889,84.78,80,100,80,72.73,100,62.5,0,8.26
44,55,55,45,54,44,46,46,89,66,70,70,59,50,45,39,41,40,43,65.385,48.837,62.5,64.444,67.39,64.44,71.43,90,63.64,90,37.5,6.23,7.73
75,46,51,62,66,37,41,45,80,79,78,87,76,74,39,38,39,39,39,69.231,58.14,80,71.111,63.04,62.22,85.71,80,81.82,90,50,7.42,9.1
85,47,53,17,43,42,36,43,84,87,49,50,45,40,40,40,28,33,39,73.077,46.512,62.5,68.889,67.39,62.22,71.43,90,72.73,90,75,0,6.8
79,72,73,78,68,39,41,44,82,91,76,75,81,66,38,39,36,33,39,76.923,51.163,52.5,80,60.87,64.44,71.43,80,63.64,80,62.5,8.54,9.03
78,63,79,67,73,40,42,40,85,94,84,81,78,81,41,36,35,33,37,80.769,69.767,85,88.889,91.3,86.67,100,90,81.82,100,100,8.42,9.54
81,61,59,71,59,44,46,44,87,71,78,81,82,81,44,40,43,38,41,92.308,81.395,90,77.778,84.78,84.44,100,100,90.91,100,62.5,8,9.54
55,47,41,56,75,45,45,43,83,74,67,63,55,54,39,41,40,40,45,88.462,90.698,92.5,95.556,97.83,93.33,100,90,100,100,100,6.77,7.52
89,75,75,62,78,44,46,47,88,93,81,75,75,63,42,44,41,37,47,69.231,62.791,80,84.444,76.09,82.22,85.71,100,90.91,90,100,9.08,9.19
58,15,58,43,52,41,45,47,80,70,64,57,65,59,41,36,42,38,41,76.923,55.814,75,73.333,76.09,73.33,100,70,81.82,100,100,0,7.54
83,57,69,58,52,40,40,40,78,76,65,51,69,45,42,42,39,39,38,88.461,69.767,82.5,86.667,80.43,82.22,100,90,90.91,100,87.5,7.62,7.54
92,71,81,70,84,45,44,46,84,97,88,79,79,63,42,37,43,41,44,88.461,93.023,100,100,100,93.33,100,100,100,100,100,9.38,9.19
81,43,62,57,72,46,46,47,89,81,70,65,72,62,44,40,40,42,41,82.609,65.116,75,80,76.09,91.11,100,90,90.91,90,87.5,7.69,8.52
73,60,71,43,52,38,44,44,82,83,87,67,75,60,47,39,39,40,41,46.154,39.535,55,60,54.348,55.556,90,81.818,58.333,50,62.5,7.27,8.89
60,28,53,26,28,32,36,28,68,72,53,51,57,42,33,33,35,33,33,96.154,86.047,87.5,93.333,95.652,93.333,100,100,100,66.667,66.67,0,6.33
69,53,51,46,48,46,43,45,89,85,64,56,63,55,39,36,42,39,43,84.615,81.395,85,93.3333,78.261,91.111,100,100,100,75,100,6.65,7.78
82,61,80,81,74,46,43,46,91,93,80,68,80,65,44,37,41,39,44,73.077,60.465,75,73.333,76.087,84.444,100,100,100,50,66.67,9.23,9
59,50,62,54,73,45,43,44,89,73,61,61,56,55,40,35,31,38,40,50,41.86,55,68.889,52.174,62.222,80,72.727,83.333,33.333,66.67,7.23,7.33
72,49,70,60,69,38,40,38,85,90,77,76,78,75,42,36,31,35,41,69.231,55.814,67.5,66.667,69.565,62.222,100,72.727,83.333,58.333,33.33,7.54,9.15
53,57,78,54,74,42,42,45,91,68,66,60,57,51,42,44,41,35,44,65.385,69.767,82.5,86.667,78.261,75.556,100,90.909,91.667,66.667,100,7.54,7.4
68,51,50,53,56,45,43,43,83,92,84,73,68,60,40,40,41,38,41,80.769,60.465,72.5,66.667,67.391,71.111,80,63.636,66.667,58.333,33.33,6.96,8.88
45,20,50,40,44,34,40,30,69,75,43,33,46,31,32,29,29,34,26,84.615,81.395,85,95.556,78.261,84.444,100,90.909,83.333,75,100,0,0
86,86,74,68,85,42,46,46,86,94,81,78,79,72,46,46,42,39,43,65.385,79.07,72.5,77.778,78.261,75.556,100,100,91.667,58.333,66.67,9.23,9.37
78,52,62,46,63,40,38,41,87,77,77,65,79,68,39,36,41,39,39,65.385,55.814,65,66.667,52.174,64.444,80,81.818,91.667,50,66.67,7.46,8.51
59,46,50,41,48,42,42,37,86,62,68,28,12,11,38,43,33,36,34,84.615,74.419,80,88.889,86.957,86.667,90,90.909,83.333,50,66.67,6.08,0
58,65,64,57,57,46,42,45,89,85,83,81,78,76,43,42,40,39,43,73.077,58.14,57.5,66.667,58.696,64.444,80,72.727,91.667,58.333,33.33,7.08,9.67
75,64,73,66,86,36,38,41,82,92,80,75,77,79,41,37,33,37,43,65.385,58.14,62.5,77.778,63.043,64.444,80,72.727,91.667,58.333,33.33,8.46,9.3
12,21,11,22,38,37,38,37,81,26,59,26,53,64,37,41,31,37,35,73.077,65.116,57.5,71.111,71.739,57.778,100,100,83.333,75,0,0,0
48,44,59,55,54,39,43,42,79,70,67,63,77,79,41,38,40,36,36,88.462,81.395,80,91.111,84.783,82.222,100,90.909,83.333,66.667,100,6.15,8.29
75,76,78,61,81,45,45,44,86,96,78,85,81,79,45,42,42,40,44,76.923,60.465,65,71.111,58.696,71.111,100,72.727,91.667,50,66.67,9.04,9.7
55,46,51,44,57,39,38,36,84,62,58,48,60,60,33,40,28,36,40,76.923,51.163,60,71.111,73.913,68.889,88.889,90.909,91.667,66.667,100,6.15,6.89
87,76,64,86,81,41,44,46,93,84,84,82,76,76,45,44,42,37,40,65.385,55.814,50,64.444,85.294,51.111,100,72.717,83.333,41.667,33.33,9.38,9.73
64,55,52,56,56,37,36,29,74,48,55,56,46,65,33,30,30,32,27,82.609,91.3,78.571,87,95.6,87.234,100,100,100,81.82,75,6.5,6.06
40,60,50,48,43,45,44,40,92,52,57,67,60,68,41,40,41,43,40,82.609,52.2,83.333,89,77.8,78.723,80,80,100,63.64,75,6.08,7.43
86,72,68,60,63,42,42,41,92,67,71,76,74,76,40,42,35,41,36,78.261,76.1,83.333,82,88.9,85.106,100,100,90,90.91,87.5,8.31,8.43
80,68,58,68,70,45,43,43,88,89,66,66,72,77,46,40,40,42,34,69.565,84.8,83.333,89,86.7,85.106,100,90,100,90.91,87.5,8.15,8.44
90,70,64,67,90,44,43,44,93,79,70,76,74,72,43,37,39,42,37,78.261,76.1,88.095,87,80,72.34,80,90,90,45.45,62.5,8.77,8.52
19,46,48,27,40,44,40,40,85,71,49,62,55,58,40,40,33,40,35,86.957,80.4,88.095,80,91.1,85.106,90,100,100,81.82,87.5,0,7
71,65,62,45,54,45,42,43,92,69,65,78,71,72,43,39,37,41,38,65.217,76.1,76.19,80,86.7,82.979,100,100,90,90.91,87.5,7.31,8.07
64,62,62,55,43,41,41,41,91,80,69,58,74,74,45,36,35,42,32,86.957,73.9,83.333,80,82.2,87.234,100,100,90,90.91,75,6.96,8
67,57,54,42,78,43,38,42,87,70,60,64,64,53,44,38,39,43,42,69.565,56.5,90.476,76,84.4,82.979,90,80,90,81.82,87.5,7.08,7.73
90,76,87,74,85,43,44,45,93,92,81,84,79,79,45,45,38,43,40,86.957,73.9,85.714,78,93.3,85.106,100,80,100,81.82,100,9.54,9.77
83,71,89,79,66,42,44,44,84,81,77,70,76,85,41,42,38,43,35,82.609,91.3,92.857,84,91.1,91.489,90,100,90,90.91,100,9.08,9.22
96,75,69,62,84,48,42,46,92,82,65,79,77,81,45,41,40,41,43,73.913,65.2,76.19,80,75.6,78.723,100,90,80,81.82,100,8.92,9.36
77,51,63,56,56,43,43,44,92,70,67,70,71,73,44,40,37,42,37,86.957,89.1,90.476,93,91.1,89.362,100,100,90,100,87.5,7.5,8.07
51,48,45,46,64,48,41,45,92,71,45,68,63,61,39,40,38,43,40,78.261,71.7,78.571,82,95.6,82.979,100,100,100,90.91,87.5,6.46,7.58
67,54,81,56,71,43,42,46,93,55,64,47,65,71,45,43,41,45,43,78.261,84.8,92.857,93,91.1,89.362,90,90,90,63.64,100,7.88,7.43
99,84,90,84,86,47,46,48,90,97,84,83,86,84,46,46,45,48,45,78.261,89.1,92.857,98,91.1,93.617,90,100,100,90.91,87.5,10,10
48,59,68,60,52,44,43,38,92,56,70,75,70,71,43,39,40,45,41,73.913,84.8,88.095,91,91.1,80.851,90,100,90,90.91,87.5,6.85,8.19
75,64,61,55,66,44,40,44,89,85,66,58,53,57,46,38,36,39,39,73.913,84.8,88.095,91,91.1,80.851,90,100,90,90.91,87.5,7.81,7.56
65,53,55,43,52,42,41,41,81,68,73,63,67,70,42,35,35,41,31,86.957,76.1,83.333,87,77.8,80.851,90,90,90,81.82,100,6.65,7.59
88,73,75,68,78,47,45,44,86,76,84,84,83,77,42,40,37,43,34,86.957,84.8,92.857,93,95.6,91.489,100,90,100,90.91,87.5,8.92,9.37
92,68,74,57,75,39,44,41,80,85,68,83,77,78,45,39,39,44,33,78.261,52.2,85.714,91,84.4,87.234,100,80,100,91.67,75,8.42,8.96
85,58,76,58,80,46,43,46,91,86,75,74,82,79,48,40,37,46,42,91.304,95.7,95.238,96,95.6,93.617,90,90,100,91.67,100,8.62,9.33
64,33,61,42,61,33,39,43,87,87,64,55,53,72,42,37,34,42,37,65.217,65.2,78.571,73,82.2,78.723,100,80,88.89,83.33,62.5,6.5,7.84
62,62,76,58,85,40,42,37,74,77,70,79,66,79,44,36,38,42,38,60.869,60.9,88.095,80,75.6,85.106,90,80,88.89,100,100,7.96,8.59
44,46,56,43,50,37,42,43,83,50,57,48,28,59,40,37,37,41,42,60.87,71.7,85.714,84,82.2,89.362,100,90,100,100,87.5,5.85,0
83,73,81,70,77,48,45,47,90,84,79,85,76,85,43,40,39,45,41,86.957,78.3,85.714,89,75.6,95.745,90,90,100,83.33,87.5,9.23,9.67
80,77,85,72,74,47,40,46,94,97,78,90,63,85,43,40,39,46,45,60.87,60.9,88.095,82,84.4,95.745,100,80,77.78,91.67,100,9.23,9.37
59,49,74,58,64,48,44,45,92,61,69,64,66,67,43,40,38,48,46,86.957,84.8,90.476,89,93.3,97.872,90,100,100,100,87.5,7.08,7.63
54,40,51,39,41,32,40,35,86,61,50,64,42,57,38,38,35,42,39,65.217,76.1,88.095,91,82.2,82.979,80,100,88.89,91.67,87.5,5.65,6.7
58,40,55,48,37,40,37,35,86,84,61,63,62,53,39,40,38,42,40,56.522,50,57.143,87,55.6,51.064,100,60,77.78,66.67,37.5,5.85,8
57,50,60,47,55,41,41,40,72,53,65,63,51,66,39,37,34,42,40,65.217,76.1,71.429,78,68.9,76.596,100,90,88.89,91.67,87.5,6.62,7.11
79,73,85,67,68,48,45,43,87,81,89,84,84,78,43,44,41,43,39,78.261,89.1,88.095,93,95.6,95.745,90,90,100,100,87.5,8.58,9.78
82,61,76,54,58,45,41,41,88,86,79,77,69,70,42,38,37,41,42,69.565,76.1,78.571,73,82.2,82.979,100,80,100,91.67,87.5,8.15,8.85
60,47,60,47,64,43,42,43,88,64,73,64,61,74,43,44,41,46,39,78.261,67.4,83.333,89,88.9,85.106,100,90,100,100,75,6.96,7.89
90,58,89,67,70,43,43,43,85,86,87,74,71,73,43,40,38,41,37,73.913,73.9,83.333,87,86.7,74.468,90,100,100,100,100,8.62,8.93
70,53,65,56,56,44,43,44,84,59,48,48,62,68,46,39,37,41,39,82.609,97.8,95.238,91,95.6,78.723,80,100,88.89,100,87.5,7.31,6.8
62,35,60,52,40,33,35,39,84,71,68,71,75,76,42,37,34,40,37,39.13,50,40.476,80,48.9,38.298,70,50,55.56,41.67,50,6.27,8.26
85,66,81,53,71,46,40,42,86,79,83,81,78,86,43,39,41,45,40,52.174,60.9,80.952,82,75.6,70.213,100,90,100,91.67,100,8.62,9.63
74,52,67,46,56,44,42,42,84,71,73,68,64,71,41,37,37,41,35,82.609,87,83.333,80,95.6,91.489,100,90,88.89,91.67,87.5,7.15,7.95
67,61,63,65,76,47,43,46,93,69,67,75,67,77,45,41,40,44,35,,,,,,,,,,,,7.88,8.11
40,40,42,44,39,36,39,40,90,42,52,71,62,79,39,38,37,44,37,,,,,,,,,,,,5.04,7.11
87,71,76,56,83,47,42,47,92,91,62,71,60,73,44,42,42,46,43,,,,,,,,,,,,8.92,8.52
69,44,56,56,58,44,41,45,92,51,56,69,60,73,42,40,39,44,34,,,,,,,,,,,,6.65,7.22
21,23,37,25,31,45,41,44,92,25,31,43,43,53,41,38,36,44,40,,,,,,,,,,,,0,0
46,51,57,61,59,41,41,41,92,56,65,68,61,78,43,40,40,42,39,,,,,,,,,,,,6.73,7.7
59,59,59,56,52,43,41,42,91,58,68,78,67,76,41,38,38,41,44,,,,,,,,,,,,6.77,8
74,65,66,60,58,45,42,39,90,65,69,77,71,75,41,41,40,42,44,,,,,,,,,,,,7.58,8.41
74,48,51,46,75,38,42,47,90,75,60,78,57,67,38,40,36,42,39,,,,,,,,,,,,7.27,8
32,41,40,41,41,27,39,43,88,40,46,59,48,65,45,38,36,42,37,,,,,,,,,,,,4.96,6.11
34,51,61,42,59,43,42,47,92,55,64,72,68,65,47,39,41,43,37,,,,,,,,,,,,6.23,7.44
45,27,47,42,41,28,39,46,86,41,56,73,61,59,44,38,35,44,37,,,,,,,,,,,,0,6.7
30,40,45,33,45,33,41,45,86,42,46,46,47,56,43,39,38,43,32,,,,,,,,,,,,0,5.78
44,49,44,45,47,41,41,45,91,45,49,54,62,68,42,40,38,43,35,,,,,,,,,,,,5.62,6.67
57,31,42,44,44,30,40,42,88,56,53,64,69,53,45,36,35,43,34,,,,,,,,,,,,0,6.81
39,26,43,15,36,40,38,44,94,32,46,25,46,53,45,30,38,41,38,,,,,,,,,,,,0,0
30,41,51,41,40,37,41,43,93,49,56,63,59,60,44,40,40,42,37,,,,,,,,,,,,0,6.85
55,61,66,47,64,46,40,44,90,68,66,63,64,50,43,41,42,43,46,,,,,,,,,,,,7.08,7.52
31,40,50,49,44,34,42,44,90,19,47,64,56,59,35,38,36,43,30,,,,,,,,,,,,0,0
47,35,43,47,42,36,41,43,89,47,55,68,62,67,41,39,39,45,35,,,,,,,,,,,,0,6.93
